disaster_no,event_name,disaster_type,disaster_subtype,location,start_year,start_month,end_year,end_month,total_deaths,no_injured,no_affected,total_affected,total_damage_adj_usd_thousands,latitude,longitude
2006-0043-AUS,Clare,Storm,Tropical cyclone,"Wyndham-East Kimberley, Ashburton, East Pilbara, Port Hedland, Roebourne, Upper Gascoyne districts (Western Australia province)",2006,1,2006,1.0,,,1500.0,1500.0,3759.0,-23.26,116.94
2006-0057-AUS,,Wildfire,Forest fire,"Victoria, New South Wales, Tasmania provinces",2006,1,2006,4.0,3.0,,,81.0,79850.0,,
2006-0179-AUS,,Flood,Riverine flood,"Beswick village (Roper Gulf district, Northern Territory province), Katherine, Unincorporated NT districts, (Northern Territory province)",2006,4,2006,4.0,,,1100.0,1100.0,,-14.18,132.39
2008-0098-AUS,,Flood,Riverine flood,"Gooseponds, Hospital Bridge, Glenella, the CBD areas (Mackay district, Queensland province), Calliope, Gladstone, Miriam Vale, Agnes Water, Seventeen Seventy towns (Gladstone district, Queensland province), Gogango, Rockhampton towns (Rockhampton district, Queensland province), Bundaberg city (Bundaberg district, Queensland province), Giru village (Burdekin district, Queensland province), Thuringowa area (Townsville district, Queensland province), Atherton, Tolga towns (Tablelands district, Queensland province), Edmonton area (Cairns district, Queensland province)",2008,2,2008,2.0,2.0,,1000.0,1000.0,1644836.0,-22.46,149.54
2008-0581-AUS,,Flood,Riverine flood,"Central Highlands, Isaac districts (Queensland province)",2008,11,2008,11.0,4.0,,1200.0,1200.0,411209.0,-21.56,147.03
2009-0067-AUS,,Wildfire,"Land fire (Brush, Bush, Pasture)","Marysville, Kinglake, Taggerty cities (Murrindindi (S) district, Victoria province), Strathewen, St Andrews cities (Nillumbik (S) district, Victoria province), , Whittlesea city (Whittlesea district, Victoria province), Wandong city (Mitchell (S) district, Victoria province)",2009,2,2009,2.0,180.0,500.0,9454.0,9954.0,1950833.0,,
2009-0048-AUS,"Tropical storm ""Dominic""",Storm,Tropical cyclone,Queensland province,2009,1,2009,2.0,,,400.0,400.0,,-20.11,120.56
2009-0230-AUS,,Storm,Severe weather,"Queensland, New South Wales provinces",2009,5,2009,5.0,1.0,,15000.0,15000.0,90038.0,-29.05,152.73
2009-0589-AUS,,Flood,Riverine flood,New South Wales province,2009,12,2009,12.0,,,200.0,200.0,,-31.17,151.75
2010-0102-AUS,,Storm,Lightning/Thunderstorms,"Victoria, New South Wales, Tasmania provinces",2010,3,2010,3.0,,,,,1963648.0,,
2010-0103-AUS,,Flood,Riverine flood,"Charleville town (Murweh district, Queensland province), Roma town (Maranoa district, Queensland province), Thallon, Bollon, Dirranbandi towns (Balonne district, Queensland province), Brisbane district (Queensland province),",2010,2,2010,3.0,,,,,160931.0,-26.21,147.95
2010-0656-AUS,,Flood,Riverine flood,"New South Wales, Queensland, Victoria provinces",2010,12,2011,2.0,35.0,,175000.0,175000.0,10777915.0,-24.77,147.63
2011-0080-AUS,,Flood,Riverine flood,"Fitzroy Crossing area (Derby-West Kimberley district, Western Australia province), Warmum area (Halls Creek district, Western Australia province)",2011,3,2011,3.0,,,217.0,217.0,,-18.939,122.73
2012-0029-AUS,,Flood,Riverine flood,"New South Wales, Queensland provinces",2012,1,2012,3.0,2.0,,13000.0,13000.0,315501.0,-21.71,146.64
